epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,3773.99,1.26182,0.94721,1.50703,0.83835,0.72115,0.80142,0.49862,1.47174,0.99526,1.6841,0.002377,0.002377,0.002377
79,3822.76,1.25378,0.9274,1.50436,0.83728,0.71943,0.80243,0.50549,1.44505,0.97826,1.67242,0.002278,0.002278,0.002278
80,3870.64,1.25425,0.93388,1.50161,0.84064,0.71903,0.80471,0.5091,1.42614,0.99433,1.65287,0.002179,0.002179,0.002179
81,3918.46,1.24476,0.92948,1.4948,0.83386,0.73149,0.80671,0.51213,1.42853,0.98211,1.66354,0.00208,0.00208,0.00208
82,3966.42,1.25483,0.93715,1.51313,0.83714,0.72593,0.80425,0.50854,1.42296,0.99427,1.66746,0.001981,0.001981,0.001981
83,4014.02,1.22827,0.91228,1.48012,0.83796,0.72823,0.80158,0.50458,1.44398,0.99587,1.66652,0.001882,0.001882,0.001882
84,4062.09,1.23309,0.9081,1.4813,0.8577,0.73149,0.81169,0.51633,1.41945,0.9609,1.65926,0.001783,0.001783,0.001783
85,4110.55,1.23261,0.91567,1.49031,0.85391,0.72866,0.81683,0.52204,1.41556,0.95503,1.65995,0.001684,0.001684,0.001684
86,4159.08,1.22406,0.89924,1.479,0.84467,0.73322,0.80817,0.5149,1.42296,0.96601,1.66042,0.001585,0.001585,0.001585
87,4207.27,1.21702,0.88623,1.46679,0.84897,0.73955,0.81835,0.52385,1.40372,0.95315,1.64533,0.001486,0.001486,0.001486
88,4255.12,1.21854,0.90626,1.48438,0.85694,0.72746,0.81506,0.52734,1.39361,0.95738,1.6334,0.001387,0.001387,0.001387
89,4302.72,1.19918,0.88503,1.46773,0.84246,0.74645,0.81945,0.52948,1.38764,0.95264,1.62303,0.001288,0.001288,0.001288
90,4351.26,1.20269,0.87473,1.46729,0.86086,0.73072,0.81829,0.52985,1.40244,0.94661,1.6416,0.001189,0.001189,0.001189
91,4404.92,1.17978,0.78473,1.4308,0.85195,0.72171,0.80742,0.51621,1.4222,0.96267,1.65329,0.00109,0.00109,0.00109
92,4449.85,1.14626,0.74882,1.40931,0.86144,0.72535,0.81606,0.53057,1.38056,0.94137,1.62553,0.000991,0.000991,0.000991
93,4495.15,1.13167,0.73938,1.40031,0.86019,0.72923,0.81551,0.53572,1.37599,0.94671,1.62028,0.000892,0.000892,0.000892
94,4540.61,1.12972,0.73406,1.39738,0.85371,0.73399,0.81802,0.53818,1.36827,0.94848,1.61805,0.000793,0.000793,0.000793
95,4586.44,1.12244,0.73135,1.39531,0.85768,0.73667,0.8206,0.53992,1.36739,0.93108,1.62072,0.000694,0.000694,0.000694
96,4630.63,1.11417,0.72594,1.38454,0.86032,0.73705,0.81917,0.54044,1.36032,0.94083,1.61118,0.000595,0.000595,0.000595
97,4675.56,1.1088,0.7173,1.38179,0.85249,0.73725,0.81914,0.54172,1.35563,0.9317,1.61043,0.000496,0.000496,0.000496
98,4720.15,1.09423,0.70791,1.37083,0.85506,0.73885,0.82198,0.54595,1.35254,0.93204,1.6088,0.000397,0.000397,0.000397
99,4764.45,1.09335,0.71027,1.37185,0.84644,0.74147,0.81802,0.54349,1.35466,0.93713,1.61141,0.000298,0.000298,0.000298
100,4808.72,1.0852,0.70472,1.36592,0.85503,0.73782,0.82054,0.54582,1.35135,0.92654,1.61282,0.000199,0.000199,0.000199
